Classe,precision,recall,f1-score,support
<=50K,0.8817921091388264,0.9148371531966224,0.8980107357120303,12435.0
>50K,0.6866863905325444,0.6034841393655747,0.6424024356490451,3846.0
accuracy,0.8412873902094465,0.8412873902094465,0.8412873902094465,0.8412873902094465
macro avg,0.7842392498356854,0.7591606462810985,0.7702065856805377,16281.0
weighted avg,0.8357030118008398,0.8412873902094465,0.8376293388664899,16281.0
