Classe,precision,recall,f1-score,support
<=50K,0.8829066265060241,0.9429030960997186,0.9119191133579623,12435.0
>50K,0.7634121959346885,0.5956838273530941,0.6691981889878779,3846.0
accuracy,0.8608807812787912,0.8608807812787912,0.8608807812787912,0.8608807812787912
macro avg,0.8231594112203563,0.7692934617264063,0.7905586511729201,16281.0
weighted avg,0.8546789021661583,0.8608807812787912,0.8545820532801203,16281.0
