Modelo,Melhores_parametros,Acuracia_CV,F1_CV,Acuracia_teste,Precisao_teste,Recall_teste,F1_teste,Observacao
Decision Tree,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.8575 +/- 0.0057,0.6649 +/- 0.016,0.8608807812787912,0.7634121959346885,0.5956838273530941,0.6691981889878779,GridSearch com treino oficial completo.
KNN,"{'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.8425 +/- 0.0069,0.6507 +/- 0.0179,0.8412873902094465,0.6866863905325444,0.6034841393655747,0.6424024356490451,GridSearch com treino oficial completo.
