Modelo,Melhores_parametros,Acuracia_media_CV,Acuracia_desvio_CV,Precisao_media_CV,Precisao_desvio_CV,Recall_medio_CV,Recall_desvio_CV,F1_medio_CV,F1_desvio_CV,Balanced_Accuracy_media_CV,Balanced_Accuracy_desvio_CV,Acuracia_teste,Precisao_teste,Recall_teste,F1_teste,Balanced_Accuracy_teste,Observacao
Decision Tree,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.857467256312052,0.005691720047600256,0.7662906866990805,0.016656263884156662,0.5876785714285714,0.022485490369929154,0.6649048625100271,0.01600706360948862,0.7653603213129913,0.010585387915559276,0.8608807812787912,0.7634121959346885,0.5956838273530941,0.6691981889878779,0.7692934617264063,GridSearch com treino oficial completo.
KNN,"{'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.8424801353953949,0.0069366685211911805,0.6980863165848886,0.01685705062104591,0.6097432731054205,0.024024613140774382,0.6507082936116261,0.01794790347119637,0.7630229310510922,0.012025432846117623,0.8412873902094465,0.6866863905325444,0.6034841393655747,0.6424024356490451,0.7591606462810985,GridSearch com treino oficial completo.
