Modelo,Acuracia,Precisao,Recall,Especificidade,F1_score,Balanced_Accuracy
Decision Tree,0.8647263783562206,0.7745945945945946,0.6134417808219178,0.9438156831042845,0.6846631629240325,0.7786287319631011
Logistic Regression,0.8521213363394138,0.7307493540051679,0.6053082191780822,0.9298032875235785,0.6621400140482323,0.7675557533508304
MLP,0.8454601352736216,0.6949152542372882,0.6318493150684932,0.9126919967663703,0.6618834080717488,0.7722706559174317
KNN,0.847304775568764,0.705739299610895,0.6211472602739726,0.9184855834007006,0.6607468123861566,0.7698164218373367
LinearSVM,0.853556056568969,0.7418666666666667,0.5954623287671232,0.9347884667205605,0.6606506767988601,0.7651253977438419
GaussianNB,0.5989956958393113,0.36723354100016836,0.9336472602739726,0.493667475074104,0.5271299093655589,0.7136573676740383
