mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.76704261302948,0.18512477806164923,0.053250908851623535,0.03682494937221564,gini,5,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_split': 2}",0.8409323770491803,0.8519467213114754,0.8465283115552139,0.8442223930310018,0.8534460671278503,0.8465283115552139,0.8534460671278503,0.846272098385857,0.8537022802972073,0.8552395593133487,0.8492264186754198,0.004651033022137684,7,0.7255747126436781,0.7613469985358712,0.7463343108504399,0.749618320610687,0.749656121045392,0.7732463295269169,0.7685459940652819,0.7470414201183432,0.759656652360515,0.7654676258992805,0.7546488485656406,0.013223197912055102,4,0.5401069518716578,0.5561497326203209,0.544385026737968,0.5251336898395722,0.5828877005347594,0.5074946466809421,0.5546038543897216,0.5406852248394004,0.5685224839400428,0.569593147751606,0.5489562459205991,0.02120825066199012,19,0.6192519926425506,0.6427688504326329,0.629560915275201,0.6176100628930817,0.6558363417569194,0.6127989657401423,0.6442786069651741,0.6273291925465838,0.6503368034292712,0.6531614487415592,0.6352933180423117,0.01508812986192137,13
0.8521426677703857,0.13232239839122248,0.0465160608291626,0.008774229725603244,gini,5,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_split': 5}",0.8409323770491803,0.8519467213114754,0.8465283115552139,0.8442223930310018,0.8534460671278503,0.8465283115552139,0.8534460671278503,0.8460158852165002,0.8537022802972073,0.8552395593133487,0.8492007973584842,0.0046679121020950795,8,0.7255747126436781,0.7613469985358712,0.7463343108504399,0.749618320610687,0.749656121045392,0.7732463295269169,0.7685459940652819,0.7466666666666667,0.759656652360515,0.7654676258992805,0.7546113732204729,0.013245217425495085,5,0.5401069518716578,0.5561497326203209,0.544385026737968,0.5251336898395722,0.5828877005347594,0.5074946466809421,0.5546038543897216,0.5396145610278372,0.5685224839400428,0.569593147751606,0.5488491795394428,0.021252391903567765,20,0.6192519926425506,0.6427688504326329,0.629560915275201,0.6176100628930817,0.6558363417569194,0.6127989657401423,0.6442786069651741,0.6264760720944687,0.6503368034292712,0.6531614487415592,0.6352080059971001,0.015135258098375804,14
0.8224024772644043,0.12783320434203638,0.06365053653717041,0.02750595120547075,gini,5,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_split': 10}",0.8409323770491803,0.8519467213114754,0.8465283115552139,0.8442223930310018,0.8534460671278503,0.8465283115552139,0.8534460671278503,0.8460158852165002,0.8537022802972073,0.8552395593133487,0.8492007973584842,0.0046679121020950795,8,0.7255747126436781,0.7613469985358712,0.7463343108504399,0.749618320610687,0.749656121045392,0.7732463295269169,0.7685459940652819,0.7466666666666667,0.759656652360515,0.7654676258992805,0.7546113732204729,0.013245217425495085,5,0.5401069518716578,0.5561497326203209,0.544385026737968,0.5251336898395722,0.5828877005347594,0.5074946466809421,0.5546038543897216,0.5396145610278372,0.5685224839400428,0.569593147751606,0.5488491795394428,0.021252391903567765,20,0.6192519926425506,0.6427688504326329,0.629560915275201,0.6176100628930817,0.6558363417569194,0.6127989657401423,0.6442786069651741,0.6264760720944687,0.6503368034292712,0.6531614487415592,0.6352080059971001,0.015135258098375804,14
1.1582817077636718,0.22188358688821894,0.05561752319335937,0.019383477366603064,gini,10,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.8504098360655737,0.8614241803278688,0.8501152959262106,0.8513963617729952,0.8616448885472713,0.8508839354342813,0.8583141173456316,0.857033051498847,0.859851396361773,0.8621573148859851,0.8563230378166438,0.004823467176994007,2,0.76793893129771,0.7751396648044693,0.744413407821229,0.7388963660834454,0.765814266487214,0.7528735632183908,0.7656903765690377,0.7547425474254743,0.7849779086892489,0.7558139534883721,0.7606300985884591,0.013276305794174666,3,0.5379679144385027,0.5935828877005348,0.5700534759358289,0.5871657754010695,0.6085561497326203,0.5610278372591007,0.5877944325481799,0.5963597430406852,0.5706638115631691,0.6263383297644539,0.5839510357384146,0.023840222600767503,16,0.6327044025157232,0.6723198061780739,0.6456692913385826,0.6543504171632897,0.6781883194278904,0.6429447852760736,0.6650514839491217,0.666267942583732,0.6608803471791692,0.6850117096018735,0.660338850521353,0.015639138729718317,1
1.0983999252319336,0.266206225630614,0.059105420112609865,0.02333765649822194,gini,10,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_split': 5}",0.8496413934426229,0.8614241803278688,0.8496028695874968,0.8506277222649244,0.8613886753779144,0.8531898539584934,0.8580579041762747,0.8565206251601333,0.8601076095311299,0.8619011017166283,0.8562461935543487,0.0048183852407787265,3,0.7652439024390244,0.7751396648044693,0.7430167597765364,0.7378378378378379,0.7654986522911051,0.7619738751814223,0.7661064425770309,0.7520215633423181,0.7852941176470588,0.7554980595084088,0.7607630875405212,0.013511521475604292,2,0.5368983957219251,0.5935828877005348,0.5689839572192513,0.5839572192513369,0.6074866310160428,0.5620985010706638,0.5856531049250535,0.5974304068522484,0.5717344753747323,0.6252676659528907,0.5833093245084681,0.0236621540236031,18,0.6310496543054682,0.6723198061780739,0.6444579043004239,0.6519402985074627,0.6774001192605844,0.6469500924214417,0.6638349514563107,0.665871121718377,0.6617100371747212,0.6842413591095489,0.6599775344432413,0.015521660670115655,3
1.0761463642120361,0.12235528231838719,0.04966020584106445,0.012251040205504465,gini,10,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.8496413934426229,0.8616803278688525,0.8498590827568537,0.8508839354342813,0.8611324622085575,0.8534460671278503,0.857289264668204,0.8557519856520626,0.8608762490392006,0.862669741224699,0.8563230509423185,0.004882530827343134,1,0.7652439024390244,0.7754532775453278,0.7454289732770746,0.738191632928475,0.7658998646820027,0.7638483965014577,0.7614424410540915,0.7496635262449529,0.7870778267254038,0.7577720207253886,0.7610021862123199,0.013567950096933033,1,0.5368983957219251,0.5946524064171123,0.5668449197860963,0.5850267379679145,0.6053475935828877,0.5610278372591007,0.5877944325481799,0.5963597430406852,0.5738758029978587,0.6263383297644539,0.5834166199086214,0.023810957654165302,17,0.6310496543054682,0.6731234866828087,0.6439854191980559,0.652744630071599,0.6762246117084827,0.6469135802469136,0.6634441087613293,0.6642814549791294,0.6637770897832818,0.6858147713950762,0.6601358807132145,0.015699124027405656,2
1.2306813716888427,0.1917134215224008,0.044771003723144534,0.008721495632773224,gini,20,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__min_samples_split': 2}",0.8283811475409836,0.8324795081967213,0.8232129131437356,0.8306430950550858,0.8280809633615168,0.8244939789905201,0.8457596720471432,0.8265436843453754,0.8349987189341532,0.8401229823212913,0.8314716663936528,0.006748059392583787,18,0.6538908246225319,0.6620530565167243,0.6341730558598029,0.6556818181818181,0.6407249466950959,0.6292834890965732,0.6934731934731935,0.646188850967008,0.6625560538116592,0.670704845814978,0.6548730135039385,0.017921261878797588,18,0.6021390374331551,0.613903743315508,0.6192513368983957,0.6171122994652406,0.6427807486631016,0.6488222698072805,0.6370449678800857,0.6081370449678801,0.632762312633833,0.6520342612419701,0.627398802230645,0.016696322323848538,1,0.6269487750556793,0.6370699223085461,0.6266233766233766,0.6358126721763085,0.6417512012813668,0.6389035318924617,0.6640625,0.6265857694429123,0.6473165388828039,0.6612377850162866,0.6406312072679742,0.012803097509922636,12
1.132004976272583,0.167988285952807,0.05351743698120117,0.021090335830478774,gini,20,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__min_samples_split': 5}",0.8311987704918032,0.8347848360655737,0.8314117345631565,0.8337176530873687,0.8306430950550858,0.8296182423776582,0.8478093774019985,0.8262874711760184,0.8439661798616449,0.8444786062003588,0.8353915966280667,0.00696887957353367,17,0.663895486935867,0.6705882352941176,0.6568516421291053,0.6686320754716981,0.6508810572687225,0.6447793326157158,0.7048192771084337,0.648491879350348,0.6900584795321637,0.681868743047831,0.6680866208754003,0.018427041122668714,17,0.597860962566845,0.6096256684491979,0.6203208556149733,0.6064171122994653,0.6320855614973262,0.6413276231263383,0.6263383297644539,0.5985010706638115,0.6316916488222698,0.6563169164882227,0.6220485749292904,0.018164015786495062,4,0.6291502532357907,0.6386554621848739,0.6380638063806381,0.6360067302299495,0.6413456321215409,0.6430488459473966,0.6632653061224489,0.6224944320712695,0.6595863610955841,0.668848881614839,0.6440465711004331,0.014318454998892059,11
1.1643075942993164,0.17454655253590837,0.05070502758026123,0.01159239154535006,gini,20,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__min_samples_split': 10}",0.8332479508196722,0.8396516393442623,0.8334614399180118,0.8352549321035101,0.8373046374583654,0.830386881885729,0.8506277222649244,0.8314117345631565,0.8478093774019985,0.8503715090955675,0.8389527824855196,0.007449508000746531,15,0.6744471744471745,0.6905055487053021,0.663981588032221,0.6713615023474179,0.6724137931034483,0.6504424778761062,0.7122128174123338,0.6635071090047393,0.7033492822966507,0.6988636363636364,0.6801084929589031,0.019011050340507967,15,0.5871657754010695,0.5989304812834224,0.6171122994652406,0.611764705882353,0.6256684491978609,0.6295503211991434,0.6306209850107066,0.5995717344753747,0.6295503211991434,0.658458244111349,0.6188393317225664,0.019515129465197317,7,0.62778730703259,0.6414662084765178,0.6396895787139689,0.6401790710688304,0.6481994459833795,0.6398258977149075,0.6689381033503691,0.6299212598425197,0.6644067796610169,0.6780595369349504,0.647847318877905,0.01608135326632391,10
1.2822813034057616,0.09738375070371609,0.04781384468078613,0.022377612474626718,gini,,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_split': 2}",0.8091700819672131,0.8060963114754098,0.8109146810146042,0.8091211888291058,0.8101460415065335,0.8019472200871125,0.8183448629259544,0.8055342044581092,0.8237253394824494,0.8150140917243146,0.8110014023470807,0.0061276679994402596,24,0.6014957264957265,0.5934873949579832,0.6008188331627431,0.5989583333333334,0.5958498023715415,0.5812310797174571,0.616580310880829,0.5914315569487983,0.6302966101694916,0.6051587301587301,0.6015308378196634,0.012981874494240502,24,0.6021390374331551,0.6042780748663101,0.627807486631016,0.6149732620320856,0.6449197860962567,0.6167023554603854,0.6370449678800857,0.6059957173447538,0.6370449678800857,0.6531049250535332,0.6244010580677667,0.017215437225942966,3,0.6018172100481026,0.598834128245893,0.6140167364016736,0.6068601583113457,0.6194144838212635,0.5984415584415584,0.6266456029489205,0.5986250661025913,0.6336528221512248,0.6282183316168898,0.6126526098089463,0.01291248632446866,24
